CustomerID,purchase_cnt,item_cnt,recency,user_total,user_average,unique_products,average_interval
16692,2,2,256,1126.0,563.0,1,32.0
13452,2,2,259,590.0,295.0,1,11.0
12875,2,2,143,343.2,171.6,1,219.0
17186,2,2,46,144.0,72.0,1,13.0
16073,2,2,291,94.3,47.15,1,5.0
18084,2,2,16,87.5,43.75,2,284.0
14682,2,2,187,52.0,26.0,1,13.0
15649,2,2,336,816.0,408.0,1,31.0
13068,2,2,10,344.0,172.0,1,309.0
18080,2,2,18,1231.5,615.75,2,223.0
17747,2,2,100,64.7,32.35,1,12.0
13106,2,2,128,59.5,29.75,1,4.0
17029,2,2,110,716.0,358.0,1,126.0
18273,3,3,2,204.0,68.0,1,127.5
14616,3,3,242,406.1,135.36666666666667,2,36.5
16716,3,3,266,319.8,106.60000000000001,1,22.0
17616,3,3,173,571.2,190.4,1,96.5
16506,3,3,19,90.3,30.099999999999998,3,10.0
12891,3,3,185,331.0,110.33333333333333,2,53.5
14785,3,3,10,77.4,25.8,2,2.0
12908,3,3,176,360.0,120.0,1,68.0
18017,3,3,81,523.0,174.33333333333334,1,114.5
12665,3,3,324,43.8,14.6,2,3.0
17024,3,3,45,95.8,31.933333333333334,2,55.5
14777,3,3,4,-17.4,-5.8,2,176.5
14053,4,4,124,260.3,65.075,2,11.67
16446,4,4,0,2.9,0.725,3,68.0
16308,4,4,37,2560.0,640.0,1,74.0
14865,4,4,7,52.2,13.05,4,121.33
16462,4,4,64,102.0,25.5,1,72.67
14548,4,4,150,652.8,163.2,2,55.67
14609,4,4,72,601.6,150.4,2,74.0
18220,4,4,219,297.8,74.45,2,2.33
18246,4,4,23,596.1,149.025,3,69.67
16532,4,4,17,6748.8,1687.2,2,106.67
17026,4,4,185,154.8,38.7,4,61.33
17788,4,4,73,1113.0,278.25,2,18.33
14987,4,4,15,326.4,81.6,2,116.33
14520,4,4,1,270.6,67.65,3,96.33
13147,4,4,10,712.8,178.2,1,29.33
13832,4,4,17,40.9,10.225,3,0.33
12897,4,4,204,216.5,54.125,3,32.33
17500,5,5,17,1138.0,227.6,3,3.0
15661,5,5,317,309.8,61.96,4,5.25
16998,5,5,149,287.5,57.5,1,38.0
15612,5,5,36,180.2,36.04,3,6.25
12995,5,5,77,200.7,40.14,3,1.75
16405,5,5,302,167.3,33.46,3,1.75
17820,5,5,191,-24.1,-4.82,5,41.75
16698,5,5,226,1998.0,399.6,4,6.5
14463,5,5,98,514.6,102.92,5,26.5
17468,5,5,10,137.0,27.4,5,1.0
14836,5,5,10,99.4,19.880000000000003,4,5.0
17163,5,5,21,293.1,58.620000000000005,3,14.0
17707,5,5,185,152.4,30.48,3,37.75
12755,5,5,249,2220.7,444.14,4,28.75
13223,5,5,200,163.2,32.64,5,7.75
13848,5,5,92,1255.0,251.0,3,68.25
12823,5,5,74,1759.5,351.9,1,55.0
17578,6,6,190,124.7,20.783333333333335,5,5.4
18087,6,6,144,2917.3,486.2166666666667,6,31.2
17929,6,6,11,834.5,139.08333333333334,4,59.2
17330,6,6,22,363.9,60.65,5,8.8
14495,6,6,50,123.8,20.633333333333333,6,14.0
14768,6,6,17,139.5,23.25,4,21.8
16927,6,6,115,543.1,90.516666666666666,5,49.0
17414,6,6,43,778.0,129.66666666666666,5,28.2
13493,6,6,275,498.6,83.100000000000009,5,2.2
16424,6,6,191,82.6,13.766666666666666,6,29.0
15100,6,6,330,635.1,105.85000000000001,1,8.2
17549,6,6,23,148.9,24.816666666666666,5,5.4
15653,6,6,92,877.4,146.23333333333332,4,4.6
14045,6,6,109,1659.8,276.63333333333333,4,52.6
15729,6,6,198,62.0,10.333333333333334,5,2.8
16671,6,6,28,1692.3,282.05,3,27.0
13079,6,6,4,220.1,36.68333333333333,2,26.8
17268,6,6,107,763.6,127.26666666666667,3,27.2
12547,6,6,197,151.8,25.3,6,16.4
16878,6,6,24,0.0,0.0,3,11.8
16041,6,6,30,3166.4,527.73333333333335,6,22.0
12863,6,6,52,504.2,84.033333333333331,5,29.2
14295,6,6,40,157.7,26.283333333333331,6,58.4
15973,6,6,235,99.8,16.633333333333333,4,26.0
13525,6,6,14,628.8,104.8,5,46.6
13003,6,6,105,149.1,24.849999999999998,4,21.6
14147,6,6,49,468.4,78.066666666666663,4,47.0
